LEVEL,Div Num,Div Name,Sch Num,Sch Name,Sch Type,Low Grade,High Grade,Subject,Grade,Test,2018-2019 Pass Rate,2019-2020 Pass Rate,2020-2021 Pass Rate,2018-2019 Adv Pass Rate,2019-2020 Adv Pass Rate,2020-2021 Adv Pass Rate,address,latitude,longitude,geoid
SCH,7.0,Arlington County,490.0,Ashlawn Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,83,,84,25,,11,Ashlawn Elementary Arlington County,38.8731638,-77.1360151,5100270
SCH,7.0,Arlington County,150.0,Barcroft Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,60,,36,6,,4,Barcroft Elementary Arlington County,38.8619352,-77.1082263,5100270
SCH,7.0,Arlington County,250.0,Barrett Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,66,,36,12,,6,Barrett Elementary Arlington County,38.873056,-77.1123519,5100270
SCH,7.0,Arlington County,615.0,Campbell Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,83,,57,20,,10,Campbell Elementary Arlington County,38.858045,-77.1261426,5100270
SCH,7.0,Arlington County,380.0,Cardinal Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,91,,83,30,,21,Cardinal Elementary Arlington County,38.8861689,-77.1420598,5100270
SCH,7.0,Arlington County,90.0,Carlin Springs Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,40,,21,2,,0,Carlin Springs Elementary Arlington County,38.8628238,-77.1323053,5100270
SCH,7.0,Arlington County,622.0,Claremont Immersion,Elem,PK,5.0,English: Reading,Gr 3,English Reading,76,,68,21,,9,Claremont Immersion Arlington County,38.8477114,-77.1057587,5100270
SCH,7.0,Arlington County,626.0,Discovery Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,80,,81,28,,15,Discovery Elementary Arlington County,38.9085217,-77.1472935,5100270
SCH,7.0,Arlington County,200.0,Dr. Charles R. Drew Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,72,,37,17,,2,Dr. Charles R. Drew Elementary Arlington County,38.8484488,-77.0868857,5100270
SCH,7.0,Arlington County,111.0,Escuela Key Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,67,,64,29,,19,Escuela Key Elementary Arlington County,38.8797222,-77.1218534,5100270
